HH MM       Wp      kak      lrm      wmq      izn      fur      ebr      tdc      sjg      tuc      hon      cnb   n
00 00    0.104    0.069    0.103  999.000    0.146    0.144    0.115    0.041    0.072    0.207    0.084    0.117   5
00 01    0.132    0.111    0.206  999.000    0.193    0.219    0.133    0.044    0.073    0.255    0.119    0.198   5
00 02    0.085    0.145    0.312  999.000    0.095    0.125    0.104    0.043    0.055    0.206    0.072    0.213   5
00 03    0.060    0.093    0.210  999.000    0.068    0.105    0.065    0.023    0.039    0.149    0.052    0.159   5
00 04    0.068    0.081    0.092  999.000    0.096    0.101    0.066    0.030    0.045    0.098    0.028    0.182   5
00 05    0.077    0.085    0.062  999.000    0.081    0.132    0.089    0.037    0.045    0.133    0.048    0.206   5
00 06    0.060    0.082    0.051  999.000    0.079    0.076    0.056    0.038    0.050    0.133    0.053    0.168   5
00 07    0.064    0.061    0.067  999.000    0.083    0.068    0.049    0.061    0.058    0.152    0.050    0.067   5
00 08    0.061    0.057    0.079  999.000    0.091    0.074    0.057    0.043    0.041    0.092    0.031    0.074   5
00 09    0.045    0.057    0.119  999.000    0.044    0.067    0.042    0.040    0.029    0.069    0.036    0.070   5
00 10    0.050    0.032    0.081  999.000    0.043    0.047    0.053    0.057    0.048    0.118    0.064    0.080   5
00 11    0.055    0.054    0.130  999.000    0.070    0.070    0.047    0.035    0.054    0.072    0.052    0.170   5
00 12    0.053    0.071    0.145  999.000    0.077    0.073    0.050    0.022    0.042    0.087    0.037    0.201   5
00 13    0.070    0.077    0.139  999.000    0.069    0.128    0.075    0.029    0.047    0.175    0.081    0.197   5
00 14    0.072    0.046    0.079  999.000    0.064    0.130    0.082    0.030    0.054    0.163    0.083    0.178   5
00 15    0.076    0.121    0.175  999.000    0.099    0.098    0.079    0.055    0.051    0.225    0.128    0.470   5
00 16    0.103    0.190    0.330  999.000    0.128    0.161    0.094    0.088    0.044    0.355    0.159    0.692   5
00 17    0.069    0.065    0.179  999.000    0.086    0.096    0.064    0.068    0.032    0.166    0.089    0.264   5
00 18    0.055    0.061    0.173  999.000    0.063    0.082    0.061    0.033    0.035    0.088    0.084    0.237   5
00 19    0.077    0.075    0.127  999.000    0.077    0.131    0.084    0.029    0.064    0.073    0.086    0.122   5
00 20    0.071    0.080    0.146  999.000    0.082    0.100    0.072    0.046    0.058    0.094    0.065    0.190   5
00 21    0.074    0.097    0.138  999.000    0.079    0.085    0.077    0.049    0.082    0.146    0.086    0.255   5
00 22    0.108    0.049    0.149  999.000    0.107    0.126    0.110    0.073    0.126    0.181    0.071    0.233   5
00 23    0.165    0.044    0.176  999.000    0.190    0.275    0.175    0.076    0.110    0.200    0.076    0.217   5
00 24    0.261    0.096    0.224  999.000    0.354    0.408    0.313    0.146    0.084    0.424    0.120    0.420   5
00 25    0.168    0.071    0.190  999.000    0.228    0.238    0.182    0.122    0.069    0.259    0.114    0.243   5
00 26    0.155    0.138    0.181  999.000    0.186    0.281    0.137    0.104    0.067    0.235    0.094    0.489   5
00 27    0.127    0.114    0.149  999.000    0.143    0.174    0.118    0.107    0.091    0.186    0.125    0.553   5
00 28    0.160    0.147    0.172  999.000    0.187    0.215    0.165    0.134    0.097    0.318    0.204    0.602   5
00 29    0.217    0.295    0.303  999.000    0.284    0.301    0.232    0.131    0.136    0.665    0.346    0.888   5
00 30    0.221    0.307    0.299  999.000    0.247    0.339    0.229    0.149    0.142    0.989    0.315    1.009   5
00 31    0.269    0.115    0.181  999.000    0.406    0.427    0.233    0.156    0.123    0.354    0.121    0.367   5
00 32    0.355    0.150    0.164  999.000    0.504    0.645    0.305    0.214    0.106    0.260    0.153    0.296   5
00 33    0.214    0.134    0.155  999.000    0.252    0.429    0.192    0.141    0.055    0.107    0.092    0.198   5
00 34    0.168    0.081    0.153  999.000    0.185    0.271    0.179    0.149    0.057    0.117    0.066    0.194   5
00 35    0.258    0.121    0.249  999.000    0.361    0.421    0.253    0.180    0.077    0.265    0.163    0.345   5
00 36    0.411    0.089    0.193  999.000    0.542    0.742    0.419    0.254    0.099    0.319    0.131    0.300   5
